"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Excretory system","mmu04966","Collecting duct acid secretion","8/685","27/11153",0.296296296296296,4.82422276290889,5.08915110114333,0.000151654914843946,0.00264288474297901,0.00180110206448417,"Atp6v0a1/Atp6v0a2/Atp6v0d1/Atp6v0e/Atp6v1c2/Atp6v1g1/Atp6v1g3/Slc4a1",8
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","20/685","132/11153",0.151515151515152,2.46693209466932,4.33686880088619,0.000152628602178119,0.00264288474297901,0.00180110206448417,"Akt1/Csf1r/Fos/Fosb/Fosl2/Ifngr1/Il1r1/Itpr1/Jun/Jund/Map2k1/Mapk1/Mapk13/Nfatc1/Nfkbia/Pik3cb/Socs3/Sqstm1/Tab2/Tgfbr2",20
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","23/685","164/11153",0.140243902439024,2.28341641445612,4.23545659981109,0.000167264064193299,0.00267531206866049,0.00182320099383997,"Akt1/Bad/Bax/Casp9/Ep300/Fadd/Fos/Hspg2/Irak4/Irf7/Jun/Map2k1/Mapk1/Mapk13/Nfatc1/Nfkbia/Pik3cb/Sos2/Stat3/Tab2/Tgfbr2/Tlr3/Ywhaz",23
"Human Diseases","Cancer: specific types","mmu05213","Endometrial cancer","12/685","58/11153",0.206896551724138,3.36863830858293,4.6263544312102,0.000170764600127265,0.00267531206866049,0.00182320099383997,"Akt1/Bad/Bax/Casp9/Erbb2/Gadd45a/Map2k1/Mapk1/Pik3cb/Polk/Sos2/Tcf7l2",12
"Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia","14/685","76/11153",0.184210526315789,2.9992700729927,4.4735983806222,0.000186914479840802,0.00279522108489199,0.00190491790459764,"Akt1/Bad/Bax/Bcl2l1/Cbl/Gadd45a/Map2k1/Mapk1/Nfkbia/Pik3cb/Polk/Shc1/Sos2/Tgfbr2",14
"Organismal Systems","Nervous system","mmu04721","Synaptic vesicle cycle","14/685","77/11153",0.181818181818182,2.96031851360319,4.41540291146801,0.000215805516124389,0.00308695716543148,0.00210373340661304,"Ap2b1/Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v0e/Atp6v1c2/Atp6v1g1/Atp6v1g3/Cacna1a/Dnm2/Slc1a3/Slc6a9/Vamp2",14
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","49/685","481/11153",0.101871101871102,1.65863999878598,3.77735272487558,0.000307968541047078,0.00417469613575045,0.00284501768329818,"Adrm1/Atg13/Atxn1/Atxn1l/Atxn2/Atxn2l/Bad/Bax/Bcl2l1/Capn1/Casp9/Cat/Chmp2b/Csnk1e/Dctn1/Dvl2/Fadd/Fzd5/Fzd8/Gpx1/Itpr1/Klc3/Lrp5/Lrrk2/Map1lc3b/Map2k1/Mapk1/Mapk13/Ndufa4/Ndufb11/Ndufb2/Pink1/Psmb3/Psmc3/Psmd1/Slc25a5/Snca/Sqstm1/Tank/Ubb/Ubc/Ube2g1/Ube2j1/Ube2j2/Ulk1/Uqcr10/Uqcrb/Uqcrq/Wipi1",49
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance","14/685","80/11153",0.175,2.84930656934307,4.24630382684327,0.000326660897322018,0.00417469613575045,0.00284501768329818,"Akt1/Bad/Bax/Bcl2l1/Eif4e/Erbb2/Fgfr2/Map2k1/Mapk1/Pik3cb/Shc1/Sos2/Stat3/Vegfa",14
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","17/685","109/11153",0.155963302752294,2.53935578919172,4.1312251876925,0.000329915196138334,0.00417469613575045,0.00284501768329818,"Akt1/Bad/Bcl2l1/Casp9/Gnai2/Hspa8/Ifngr1/Irak4/Itga6/Lamb1/Lamb2/Ldlr/Mapk1/Mapk13/Nfkbia/Stat3/Tab2",17
"Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia","20/685","141/11153",0.141843971631206,2.30946834394575,4.00277582376008,0.00037562085607618,0.00445013462362718,0.00303272652322057,"Adrm1/Afg3l1/Akt1/Atg13/Atxn1/Atxn1l/Atxn2/Atxn2l/Cacna1a/Cic/Itpr1/Kcnc3/Pik3cb/Psmb3/Psmc3/Psmd1/Slc25a5/Ulk1/Vldlr/Wipi1",20
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","13/685","72/11153",0.180555555555556,2.93976074614761,4.22391087954132,0.000386065674163395,0.00445013462362718,0.00303272652322057,"Akt1/Bad/Bax/Casp9/Erbb2/Gadd45a/Map2k1/Mapk1/Pik3cb/Polk/Rxrb/Sos2/Stat3",13
"Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway","19/685","131/11153",0.145038167938931,2.36147545550788,4.0096371206374,0.000392261106641909,0.00445013462362718,0.00303272652322057,"Adora3/Akt1/Bax/Cers5/Cers6/Degs1/Gnai2/Map2k1/Mapk1/Mapk13/Pik3cb/Ppp2ca/Ppp2r3c/Rac3/Rock1/S1pr2/Sgpp2/Smpd1/Sptlc2",19
