"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","mmu00600","Sphingolipid metabolism","10/685","56/11153",0.178571428571429,2.90745568300313,3.66045848906605,0.00194243943949304,0.014201390568738,0.00967811931256179,"B4galt5/Cers5/Cers6/Degs1/Gal3st1/Samd8/Sgpp2/Smpd1/Sptlc2/Ugcg",10
"Human Diseases","Cancer: specific types","mmu05226","Gastric cancer","19/685","150/11153",0.126666666666667,2.06235523114355,3.3508087660852,0.00206736276358999,0.0147861380265458,0.0100766194197865,"Akt1/Bax/Dvl2/Erbb2/Fgfr2/Fzd5/Fzd8/Gadd45a/Jup/Lrp5/Map2k1/Mapk1/Pik3cb/Polk/Rxrb/Shc1/Sos2/Tcf7l2/Tgfbr2",19
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","36/685","357/11153",0.100840336134454,1.64185732687235,3.15305090492974,0.00224345349303881,0.0157041744512717,0.0107022529455155,"Akt1/Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v0e/Atp6v1c2/Atp6v1g1/Atp6v1g3/Bad/Bax/Col6a1/Crb3/Dvl2/Ep300/Fadd/Fn1/Fzd5/Fzd8/Itga6/Lamb1/Lamb2/Maml1/Map2k1/Mapk1/Notch2/Pik3cb/Ppp2ca/Ppp2r3c/Prkaca/Pxn/Sos2/Tcf7l2/Thbs1/Tlr3/Vegfa",36
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","13/685","87/11153",0.149425287356322,2.43290544508768,3.43219248074062,0.00238959050000179,0.0160443933571549,0.010934109054788,"Cat/Dhrs4/Eci2/Gnpat/Gstk1/Pex11b/Pex16/Pex2/Pmvk/Prdx1/Scp2/Sod2/Xdh",13
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","13/685","87/11153",0.149425287356322,2.43290544508768,3.43219248074062,0.00238959050000179,0.0160443933571549,0.010934109054788,"Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v0e/Atp6v1c2/Atp6v1g1/Atp6v1g3/Csf2/Fos/Icam1/Jun/Vegfa",13
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19","34/685","334/11153",0.101796407185629,1.65742383845448,3.12043348684262,0.00251976734079572,0.0165800691024358,0.0112991672334629,"Csf2/Fos/Irak4/Jun/Mapk1/Mapk13/Nfkbia/Pik3cb/Rpl17/Rpl18/Rpl18a/Rpl21/Rpl30/Rpl35/Rpl35a/Rpl36al/Rpl37a/Rpl41/Rpl5/Rpl7/Rplp1/Rplp2/Rps15/Rps18/Rps19/Rps2/Rps25/Rps27l/Rps29/Rps3a1/Rps4x/Stat3/Tab2/Tlr3",34
"Cellular Processes","Transport and catabolism","mmu04136","Autophagy - other","7/685","32/11153",0.21875,3.56163321167883,3.7120158605108,0.00278802382133333,0.0179525553043463,0.0122345041747745,"Atg13/Atg4b/Atg7/Gabarapl2/Mlst8/Ppp2ca/Wipi1",7
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","26/685","237/11153",0.109704641350211,1.78618374449475,3.12936541507135,0.00286739119372686,0.0179525553043463,0.0122345041747745,"Akt1/Bad/Bcl2l1/Brap/Csf1r/Ets2/Fgfr2/Gnb1/Gng12/Gng5/Map2k1/Mapk1/Pak4/Pik3cb/Prkaca/Rab5b/Rab5c/Rac3/Rala/Ralbp1/Ralgapa2/Rasa1/Shc1/Sos2/Vegfa/Vegfb",26
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","29/685","274/11153",0.105839416058394,1.72325110554638,3.10069970788816,0.00289205298215913,0.0179525553043463,0.0122345041747745,"Adrm1/Bax/Bcl2l1/Casp9/Dusp1/Gnai2/Itpr1/Klc3/Lrrk2/Maob/Ndufa4/Ndufb11/Ndufb2/Pink1/Prkaca/Psmb3/Psmc3/Psmd1/Slc25a5/Slc39a4/Snca/Ubb/Ubc/Ube2g1/Ube2j1/Ube2j2/Uqcr10/Uqcrb/Uqcrq",29
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","17/685","133/11153",0.12781954887218,2.08112617309698,3.20849386878634,0.00315595541148902,0.0192279505625905,0.0131036745155392,"Akt1/Cat/Cdkn2d/Csnk1e/Ep300/Gabarapl2/Gadd45a/Map2k1/Mapk1/Mapk13/Nlk/Pik3cb/Sgk1/Sod2/Sos2/Stat3/Tgfbr2",17
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","12/685","80/11153",0.15,2.44226277372263,3.31166613307794,0.00335197357014843,0.0200508964468879,0.0136645046974472,"Akt1/Cd81/Fos/Jun/Map2k1/Mapk1/Nfatc1/Nfkbia/Pik3cb/Rac3/Sos2/Vav2",12
