"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902911","protein kinase complex","18/1347","138/25856",0.130434782608696,2.50372809141086,4.15225037651132,0.000303571372217424,0.00347775624663119,0.00247229871002556,"Acvr1/Acvr2b/Atg13/Ccnj/Ccnl2/Ccnt2/Ccny/Cdk16/Cdk7/Cdkn2d/Cnppd1/Mlst8/Phkg2/Prkaca/Pycard/Rictor/Tgfbr2/Ulk1",18
"GO:0030688","preribosome, small subunit precursor","5/1347","13/25856",0.384615384615385,7.38278796185255,5.39639713002905,0.000344829219862864,0.00386307035590805,0.00274621427735222,"Bysl/Ltv1/Noc4l/Riok3/Rrp1b",5
"GO:0080008","Cul4-RING E3 ubiquitin ligase complex","8/1347","35/25856",0.228571428571429,4.38748541732952,4.70130254731632,0.00035426005535436,0.00386307035590805,0.00274621427735222,"Arih1/Dcaf11/Dcaf13/Dcaf17/Dcaf6/Dcaf8/Ercc8/Glmn",8
"GO:0070603","SWI/SNF superfamily-type complex","14/1347","94/25856",0.148936170212766,2.8588668277812,4.23268246673724,0.000354952865780219,0.00386307035590805,0.00274621427735222,"Bcl7b/Cecr2/Gon4l/Hmgxb4/Ino80b/Ino80c/Mcrs1/Mta2/Mta3/Pole3/Smarcd3/Srcap/Ss18l1/Tfpt",14
"GO:0005884","actin filament","17/1347","129/25856",0.131782945736434,2.52960641793708,4.0829423895085,0.000390656520556691,0.00418194603153311,0.00297289949207077,"Actn1/Dyrk1a/Gas2l1/Gjb6/Gng12/Mical2/Nckap1/Pawr/Pdlim2/Pdlim5/Ptges3/Rac3/Tfpt/Tmod1/Tmod3/Vps16/Yes1",17
"GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane","10/1347","54/25856",0.185185185185185,3.55467568533641,4.40554094576195,0.000418109115446623,0.0044036331030104,0.0031304943957888,"Aspscr1/Copz2/Ergic3/Piezo1/Rab43/Slc35c2/Stx17/Tmed10/Tmed7/Whamm",10
"GO:0005741","mitochondrial outer membrane","24/1347","217/25856",0.110599078341014,2.12297681483686,3.89442539554369,0.000428200808223423,0.00443833536142691,0.00315516385006733,"Akap1/Bad/Bax/Bcl2a1b/Bcl2l1/Bnip1/Coasy/Lrrk2/Maob/Mff/Mgst1/Mtx3/Myo19/Pink1/Rhot1/Rmdn3/Rsad2/Slc25a46/Slc44a1/Snca/Tomm5/Ubb/Ubc/Usp30",24
"GO:0098562","cytoplasmic side of membrane","24/1347","218/25856",0.110091743119266,2.11323838908073,3.86961379305632,0.000457929514780327,0.0046399616860355,0.00329849778921843,"Ap2b1/Aspscr1/Bloc1s1/Cdip1/Cdk16/Cfp/Chmp7/Fkbp1a/Gnai2/Gnb1/Gng12/Gng5/Gnrh1/Jup/Lrrk2/Lss/Micall1/Ptpn1/Rps29/S100a6/Slc4a1/Snapin/Snx5/Socs3",24
"GO:0032585","multivesicular body membrane","7/1347","28/25856",0.25,4.79881217520416,4.71492426420432,0.000461864486358817,0.0046399616860355,0.00329849778921843,"Atp13a2/Chmp1a/Chmp2a/Chmp2b/Chmp7/Rab27a/Slc9a8",7
"GO:0000932","P-body","14/1347","99/25856",0.141414141414141,2.7144796142569,4.00678054972776,0.000607942506387295,0.00601494631319551,0.00427595925545131,"Ago2/Ajuba/Btbd1/Eif4e/Isg20/Pan2/Pan3/Psmc3/Samd4/Samd4b/Sqstm1/Tnrc6c/Ythdf2/Zfp36l1",14
"GO:0019867","outer membrane","26/1347","250/25856",0.104,1.99630586488493,3.71094992105632,0.000651120178228871,0.00625266877034489,0.00444495353868316,"Akap1/Bad/Bax/Bcl2a1b/Bcl2l1/Bnip1/Coasy/Itprip/Lrpprc/Lrrk2/Maob/Mff/Mgst1/Mtx3/Myo19/Pink1/Rhot1/Rmdn3/Rsad2/Slc25a46/Slc44a1/Snca/Tomm5/Ubb/Ubc/Usp30",26
"GO:0031968","organelle outer membrane","26/1347","250/25856",0.104,1.99630586488493,3.71094992105632,0.000651120178228871,0.00625266877034489,0.00444495353868316,"Akap1/Bad/Bax/Bcl2a1b/Bcl2l1/Bnip1/Coasy/Itprip/Lrpprc/Lrrk2/Maob/Mff/Mgst1/Mtx3/Myo19/Pink1/Rhot1/Rmdn3/Rsad2/Slc25a46/Slc44a1/Snca/Tomm5/Ubb/Ubc/Usp30",26
"GO:0034045","phagophore assembly site membrane","6/1347","22/25856",0.272727272727273,5.23506782749544,4.65874732120727,0.000716756559594065,0.00678044345139435,0.00482014276144903,"Atg13/Rab7/Ulk1/Ulk3/Wdr45/Wipi1",6
"GO:0000922","spindle pole","21/1347","186/25856",0.112903225806452,2.1672054984793,3.74527865563519,0.000727001033798968,0.00678044345139435,0.00482014276144903,"Bex4/Birc6/Cdc25b/Cep44/Clasp2/Cul3/Dctn1/Git1/Hsf1/Kansl1/Klhl22/Lzts2/Mcrs1/Ppp2ca/Ralbp1/Rmdn3/Sbds/Topors/Tubgcp3/Unc119/Uxt",21
"GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain","5/1347","15/25856",0.333333333333333,6.39841623360554,4.90287263423861,0.000737230451836139,0.00678044345139435,0.00482014276144903,"Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v0e",5
"GO:0005876","spindle microtubule","12/1347","79/25856",0.151898734177215,2.91573397987088,3.99784392533127,0.000765588600549934,0.0069434632799876,0.00493603176670352,"Ccdc57/Chmp1a/Chmp2a/Chmp2b/Chmp7/Clasp2/Cul3/Eml3/Klhl22/Parp4/Rmdn3/Tubgcp3",12
"GO:0016234","inclusion body","12/1347","80/25856",0.15,2.87928730512249,3.94660521123453,0.000858711658367388,0.00768135223169732,0.00546058891622232,"Arih1/Atxn1/Dvl2/Gpx1/Hdac6/Nbn/Nup153/Prdm16/Rnf32/Snca/Sqstm1/Wdfy3",12
"GO:0031901","early endosome membrane","22/1347","203/25856",0.108374384236453,2.08027325821658,3.62247866900181,0.000954430550645904,0.00842220472394291,0.0059872528141514,"Abca7/Appl2/Clcn3/Cln3/Eea1/Gga1/Inpp5b/Mmgt1/Plekhf2/Ppp1r21/Rab5b/Rab5c/Snx19/Snx2/Snx21/Snx5/Sorcs2/Stx12/Ubxn6/Vamp8/Vps16/Wdr81",22
"GO:0031011","Ino80 complex","5/1347","16/25856",0.3125,5.9985152190052,4.68865230858965,0.00102655429911101,0.00893786609759323,0.0063538308197608,"Gon4l/Ino80b/Ino80c/Mcrs1/Tfpt",5
