"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030295","protein kinase activator activity","18/1335","155/23909",0.116129032258065,2.07979702790866,3.27980177715654,0.00260176647131119,0.03972704194045,0.0330961341266122,"Ajuba/Atg13/Ccnt2/Gprc5a/Gprc5c/Hmgb1/Map2k1/Mlst8/Mob2/Mob3c/Nbn/Parp8/Pim1/Rictor/Rplp1/Sav1/Spry2/Vegfa",18
"GO:0017134","fibroblast growth factor binding","6/1335","26/23909",0.230769230769231,4.13292999135696,3.88687810385397,0.00262627558451764,0.03972704194045,0.0330961341266122,"Fgfr2/Fibp/Rps19/Rps2/Tgfbr3/Thbs1",6
"GO:0003755","peptidyl-prolyl cis-trans isomerase activity","7/1335","35/23909",0.2,3.58187265917603,3.71718556569024,0.00282266397822478,0.0421047376751864,0.0350769646416823,"Aip/Fkbp10/Fkbp14/Fkbp1a/Fkbp8/Fkbp9/Ppig",7
"GO:0015631","tubulin binding","36/1335","397/23909",0.0906801007556675,1.62402286814027,3.04901083859235,0.00300000465709198,0.0441370548180382,0.0367700642902406,"Akap1/Arhgef2/B4galt1/Bex4/Cep44/Chp1/Clasp2/Cript/Dctn1/Dnm2/Dyrk1a/Eml3/Gas2l1/Git1/Gjb6/Hdac6/Hdgf/Hook2/Klc3/Lrpprc/Lrrk2/Map1lc3b/Map6/Pdcd5/Rad51d/Ranbp10/Reep4/Rmdn3/Sbds/Snca/Stmn1/Tbcel/Tmod3/Tubgcp3/Uxt/Whamm",36
"GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","9/1335","55/23909",0.163636363636364,2.93062308478039,3.48583020020494,0.00319516159484574,0.0460999850993257,0.0384053585557452,"Clic3/Dld/Gfer/Ifi30/Pcyox1/Pgk1/Tmx1/Tmx2/Txndc12",9
"GO:0019789","SUMO transferase activity","6/1335","27/23909",0.222222222222222,3.97985851019559,3.7674732250695,0.00321927270246688,0.0460999850993257,0.0384053585557452,"Cbx4/Pias3/Sumo3/Topors/Zfp451/Zmiz2",6
"GO:0003841","1-acylglycerol-3-phosphate O-acyltransferase activity","4/1335","12/23909",0.333333333333333,5.96978776529338,4.18759593838448,0.00333605210259561,0.0465564185170396,0.0387856078991313,"Abhd5/Agpat3/Lpcat1/Lpcat2",4
"GO:0051059","NF-kappaB binding","7/1335","36/23909",0.194444444444444,3.48237619642114,3.62471066447526,0.0033378437856723,0.0465564185170396,0.0387856078991313,"Commd6/Commd7/Ep300/Faf1/Mtdh/Nfkbia/Notch2",7
"GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","10/1335","66/23909",0.151515151515152,2.71353989331517,3.38995344711397,0.0034558846447331,0.0469825330182703,0.0391405989077034,"Cox10/Fdps/Ggps1/Gstk1/Gstz1/Hmbs/Mat2a/Mgst1/Mmab/Sec14l2",10
"GO:0032934","sterol binding","10/1335","66/23909",0.151515151515152,2.71353989331517,3.38995344711397,0.0034558846447331,0.0469825330182703,0.0391405989077034,"Cd81/Npc1/Npc2/Scp2/Soat1/Stard3/Stard3nl/Stard4/Stard5/Tmem97",10
"GO:0042626","ATPase-coupled transmembrane transporter activity","14/1335","111/23909",0.126126126126126,2.25883861389479,3.23272909140544,0.00353584951417118,0.0474687797277482,0.0395456853558619,"Abca7/Abcc5/Atp13a2/Atp1a1/Atp1b1/Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v0e/Atp6v1c2/Atp6v1g1/Atp6v1g3/Ralbp1",14
"GO:0003730","mRNA 3'-UTR binding","15/1335","123/23909",0.121951219512195,2.18406869461953,3.20167130429946,0.00358396632263647,0.047520738648291,0.0395889717250293,"Ago2/Cirbp/Dazap1/Exosc7/Hnrnpa0/Hnrnpl/Lrpprc/Pabpc4/Rbm47/Rpl41/Rpl5/Secisbp2l/Taf15/Zc3h14/Zfp36l1",15
"GO:0051219","phosphoprotein binding","14/1335","112/23909",0.125,2.23867041198502,3.19530019473732,0.00383846795681526,0.0495514492755965,0.0412807330042704,"Bcar3/Cbl/Cblb/Cblc/Cbx4/Fbxw7/Mapk1/Rasa1/Shc1/Snca/Socs3/Vav2/Yes1/Ywhaz",14
"GO:0004722","protein serine/threonine phosphatase activity","12/1335","89/23909",0.134831460674157,2.41474561292766,3.25170004265758,0.00386916083376831,0.0495514492755965,0.0412807330042704,"Ctdnep1/Ctdsp2/Dusp1/Dusp7/Dusp8/Mtmr3/Ppm1b/Ppm1d/Ppm1h/Ppp2ca/Rpap2/Ssu72",12
"GO:0008266","poly(U) RNA binding","6/1335","28/23909",0.214285714285714,3.83772070626003,3.65367914775866,0.00390654255201112,0.0495514492755965,0.0412807330042704,"Atxn1/Cirbp/Dazap1/Mcrs1/Msi2/Pabpc4",6
"GO:0004177","aminopeptidase activity","7/1335","37/23909",0.189189189189189,3.38825792084219,3.53545799723859,0.00392166963540568,0.0495514492755965,0.0412807330042704,"Dpp9/Erap1/Jmjd7/Lnpep/Lta4h/Npepps/Rnpepl1",7
