"gene","cluster"
"0610005C13Rik",1
"0610007N19Rik",2
"0610007P14Rik",3
"0610009B14Rik",4
"0610009B22Rik",3
"0610009D07Rik",5
"0610009E02Rik",6
"0610009L18Rik",4
"0610009O20Rik",7
"0610010F05Rik",8
"0610010K14Rik",9
"0610011F06Rik",2
"0610025J13Rik",3
"0610030E20Rik",2
"0610031J06Rik",4
"0610037L13Rik",2
"0610039K10Rik",1
"0610040B09Rik",5
"0610040B10Rik",5
"0610040J01Rik",10
"0610043K17Rik",1
"1010001B22Rik",11
"1010001N08Rik",9
"1100001G20Rik",8
"1110001A16Rik",10
"1110001J03Rik",2
"1110002E22Rik",11
"1110002L01Rik",12
"1110004E09Rik",7
"1110004F10Rik",10
"1110006G14Rik",1
"1110007C09Rik",12
"1110008F13Rik",4
"1110008J03Rik",7
"1110008L16Rik",10
"1110008P14Rik",4
"1110012L19Rik",10
"1110017D15Rik",11
"1110019D14Rik",8
"1110020A21Rik",3
"1110028F11Rik",1
"1110032A03Rik",4
"1110032F04Rik",11
"1110034G24Rik",2
"1110035M17Rik",1
"1110037F02Rik",6
"1110038B12Rik",4
"1110038F14Rik",4
"1110046J04Rik",11
"1110051M20Rik",3
"1110054M08Rik",7
"1110057K04Rik",7
"1110058L19Rik",4
"1110059E24Rik",10
"1110059G10Rik",11
"1110065P20Rik",4
"1190002N15Rik",6
"1190005I06Rik",11
"1190007I07Rik",4
"1200007C13Rik",1
"1200014J11Rik",9
"1300002E11Rik",6
"1500002C15Rik",5
"1500002O10Rik",3
"1500009L16Rik",5
"1500011B03Rik",6
"1500011K16Rik",2
"1500012F01Rik",4
"1500015O10Rik",11
"1500017E21Rik",1
"1500026H17Rik",2
"1600002D24Rik",1
"1600002H07Rik",10
"1600002K03Rik",10
"1600012H06Rik",8
"1600014C10Rik",9
"1600016N20Rik",3
"1600020E01Rik",3
"1600029D21Rik",4
"1600029I14Rik",5
"1700001C02Rik",1
"1700001C19Rik",1
"1700001G11Rik",3
"1700001G17Rik",1
"1700001L05Rik",5
"1700001L19Rik",1
"1700001O22Rik",1
"1700003E16Rik",1
"1700003F17Rik",1
"1700003M02Rik",1
"1700007G11Rik",1
"1700007K13Rik",1
"1700007L15Rik",5
"1700008O03Rik",4
"1700009P17Rik",6
"1700010I14Rik",3
"1700010K24Rik",1
"1700011H14Rik",1
"1700011J10Rik",4
"1700012B09Rik",11
"1700012B15Rik",11
"1700012C14Rik",3
"1700013F07Rik",1
"1700013G23Rik",8
"1700016H13Rik",11
"1700016K19Rik",1
"1700017B05Rik",10
"1700018A04Rik",1
"1700019D03Rik",6
"1700019G06Rik",1
"1700019G17Rik",5
"1700019L03Rik",1
"1700020I14Rik",9
"1700021F05Rik",10
"1700021K19Rik",6
"1700022I11Rik",5
"1700023E05Rik",5
"1700023H06Rik",1
"1700023L04Rik",11
"1700024G13Rik",1
"1700025G04Rik",6
"1700026D08Rik",1
"1700026L06Rik",1
"1700028E10Rik",1
"1700028J19Rik",1
"1700028K03Rik",1
"1700028N14Rik",11
"1700028P14Rik",1
"1700029I15Rik",1
"1700029J07Rik",8
"1700030C10Rik",1
"1700030J22Rik",1
"1700030K09Rik",10
"1700034H15Rik",5
"1700037C18Rik",11
"1700037H04Rik",2
"1700040L02Rik",3
"1700047K16Rik",5
"1700048O20Rik",11
"1700049G17Rik",10
"1700051O22Rik",1
"1700052N19Rik",10
"1700055D18Rik",1
"1700056E22Rik",1
"1700056N10Rik",1
"1700061G19Rik",1
"1700061H18Rik",5
"1700064E03Rik",5
"1700066B19Rik",9
"1700066M21Rik",10
"1700067K01Rik",1
"1700084C06Rik",3
"1700086D15Rik",1
"1700086L19Rik",1
"1700086O06Rik",10
"1700086P04Rik",1
"1700088E04Rik",4
"1700093K21Rik",11
"1700094C10Rik",5
"1700094D03Rik",6
"1700101E01Rik",1
"1700102P08Rik",11
"1700109H08Rik",11
"1700112D23Rik",11
"1700112E06Rik",4
"1700112M01Rik",1
"1700113A16Rik",6
"1700122E12Rik",1
"1700123M08Rik",9
"1700123O20Rik",8
"1810009A15Rik",5
"1810010H24Rik",6
"1810011H11Rik",1
"1810011O10Rik",1
"1810013L24Rik",6
"1810014B01Rik",10
"1810019D21Rik",4
"1810019J16Rik",2
"1810021B22Rik",6
"1810022K09Rik",11
"1810024B03Rik",2
"1810026J23Rik",11
"1810030O07Rik",10
"1810032O08Rik",1
"1810033B17Rik",5
"1810034E14Rik",11
"1810037I17Rik",2
"1810043G02Rik",10
"1810043H04Rik",11
"1810046K07Rik",1
"1810055G02Rik",8
"1810058I24Rik",4
"1810058N05Rik",11
"1810059H22Rik",11
"1810062G17Rik",8
"1810062O18Rik",1
"1810063I02Rik",11
"1810064F22Rik",5
"2010001A14Rik",3
"2010001M06Rik",11
"2010002M12Rik",1
"2010003O02Rik",4
"2010005H15Rik",3
"2010007H06Rik",10
"2010012O05Rik",2
"2010012P19Rik",8
"2010015L04Rik",1
"2010015M23Rik",4
"2010016I18Rik",1
"2010107E04Rik",2
"2010107G12Rik",1
"2010107G23Rik",4
"2010109A12Rik",1
"2010110K18Rik",1
"2010111I01Rik",3
"2010204K13Rik",11
"2010300C02Rik",6
"2010315B03Rik",8
"2200002D01Rik",6
"2210011C24Rik",9
"2210013O21Rik",11
"2210016F16Rik",4
"2210016L21Rik",5
"2210017G18Rik",12
"2210018M11Rik",10
"2210404O07Rik",4
"2210404O09Rik",2
"2210406O10Rik",1
"2210408F21Rik",11
"2210408I21Rik",5
"2210417A02Rik",1
"2210417K05Rik",4
"2300009A05Rik",11
"2310001H17Rik",1
"2310001K24Rik",3
"2310002F09Rik",11
"2310003H01Rik",2
"2310007B03Rik",12
"2310007L24Rik",11
"2310009B15Rik",4
"2310010G23Rik",11
"2310010J17Rik",6
"2310011J03Rik",10
"2310014L17Rik",4
"2310015A10Rik",12
"2310022A10Rik",3
"2310022B05Rik",12
"2310030G06Rik",4
"2310031A07Rik",1
"2310033P09Rik",11
"2310035C23Rik",12
"2310036O22Rik",11
"2310039H08Rik",5
"2310040G07Rik",3
"2310042D19Rik",1
"2310043M15Rik",1
"2310044G17Rik",10
"2310045N01Rik",2
"2310047M10Rik",9
"2310050B05Rik",11
"2310057M21Rik",10
"2310058D17Rik",6
"2310061I04Rik",11
"2310067B10Rik",11
"2410002F23Rik",9
"2410004B18Rik",10
"2410004I01Rik",1
"2410004N09Rik",4
"2410004P03Rik",1
"2410006H16Rik",4
"2410015M20Rik",2
"2410016O06Rik",8
"2410017I17Rik",1
"2410018L13Rik",1
"2410018M08Rik",11
"2410057H14Rik",3
"2410066E13Rik",8
"2410076I21Rik",9
"2410080I02Rik",1
"2410089E03Rik",8
"2410127L17Rik",1
"2410131K14Rik",11
"2410133F24Rik",11
"2500002B13Rik",11
"2500004C02Rik",5
"2510002D24Rik",9
"2510003E04Rik",7
"2510009E07Rik",6
"2510016G02Rik",1
"2510039O18Rik",4
"2510046G10Rik",12
"2510049J12Rik",1
"2600006K01Rik",11
"2610001J05Rik",2
"2610002J02Rik",4
"2610002M06Rik",10
"2610008E11Rik",10
"2610015P09Rik",6
"2610017I09Rik",1
"2610018G03Rik",7
"2610019E17Rik",10
"2610020C07Rik",10
"2610020H08Rik",4
"2610021A01Rik",11
"2610027K06Rik",1
"2610028H24Rik",6
"2610034B18Rik",2
"2610035D17Rik",3
"2610037D02Rik",6
"2610044O15Rik8",11
"2610203C20Rik",3
"2610203C22Rik",5
"2610204G07Rik",5
"2610204G22Rik",6
"2610206C17Rik",1
"2610301B20Rik",10
"2610305D13Rik",1
"2610307P16Rik",1
"2610318N02Rik",1
"2610507B11Rik",6
