name	description	E16.5	E18.5	PND1	PND3	PND7	PND10	PND14	PND28
0610009E02Rik	na	2.44075973962567	2.16633446539999	2.94093598328908	3.07554635683736	2.73388394985627	2.93051627670709	2.40895020573762	2.57616110063782
0610037L13Rik	na	4.67670622942478	4.98837629368534	4.76548621934329	4.52267651073471	4.66440563689057	4.82634671004649	4.77272462824608	4.88081443585699
0610040J01Rik	na	3.63124786423531	4.41941381587209	4.19418476871757	4.41676343629838	4.14842378157408	3.98842134610245	4.20306659482266	4.04147861665156
1110008L16Rik	na	2.87416080588566	2.65368070696939	2.97983962927032	2.74470132976576	2.63566446823547	2.77133631248014	2.59256274750253	2.39482535890537
1110012L19Rik	na	2.96057621777941	3.58930354368315	3.61763668980381	3.45465736610538	3.35293011793194	3.51730457748894	2.43171449504524	3.31552145659975
1500011B03Rik	na	2.82490335757436	2.88381953050716	3.63872462432992	3.00326052208474	3.13802695917968	3.19293392458444	2.654359840733	3.60189452770673
1500012F01Rik	na	8.20643272011558	8.56761464776449	9.56650535215211	8.31126998748259	7.73872231848179	8.1895589386635	8.29077256704114	7.45330162593469
1600002K03Rik	na	3.00173788059337	3.68012468023691	3.37576574905057	2.99461050664462	3.17244083645037	3.23683981717331	3.55802359494227	3.60829410269549
1700012B15Rik	na	3.25632745705197	3.41072358778314	3.943303816784	3.48773484569402	3.77872354293959	3.76342291732427	3.6259553809468	3.90482196474775
1700086O06Rik	na	1.80197641687827	1.98970901389355	2.02557841246436	1.98010482515151	1.97745317166059	2.08508392389239	1.54292434985745	1.80858067189971
1700112E06Rik	na	3.07968531422342	4.11881867286231	2.88866335795989	3.29294273183319	3.42497652546097	3.31373357712199	3.3115053862104	3.9881622074275
1810010H24Rik	na	3.48374082284655	3.63668694222373	4.56496179903183	4.11938087819556	3.90715820260084	3.86655664096644	3.7047453013546	4.26582719308268
1810013L24Rik	na	3.20940761039067	3.27299323407136	4.02130242908127	3.70451911846571	3.49940305200155	3.24928875824158	3.77604497147987	3.98135430025575
1810026J23Rik	na	3.19972549447514	3.86310302174038	4.01508947206941	3.51471254840674	3.2425758606705	3.68632548342526	3.12186295654712	3.97515393416744
1810058I24Rik	na	5.97857233133841	6.22027596513147	6.78529493987004	5.98614724133446	6.12665970769262	6.06231973180721	6.14539944876465	5.81165702860015
1810062G17Rik	na	2.11781070882314	2.28082581536108	2.31539261453307	2.5584882883838	2.32332289960334	2.31042550465181	2.1699586300331	2.09517292093924
2010001M06Rik	na	1.5865712595247	1.32025583370751	1.8392985390952	1.81375361833621	1.46294724604758	1.61078762272486	1.43935559769222	2.16920295220664
2310022B05Rik	na	3.36605273386366	3.60832493761377	4.12426386736036	3.81506706995835	3.96021389940749	3.72884638665686	3.9448756383345	3.7420190626695
2310030G06Rik	na	4.39204870854228	4.99922663222993	5.07338826239391	4.70735889790907	4.62651128649826	4.67591795735911	4.49686086877104	5.09010020930096
2410006H16Rik	na	6.77786233086455	7.18026326480149	7.9100164007442	6.79923518074004	6.36275624727358	6.87034044680517	7.05538879262236	6.41909120048286
2410066E13Rik	na	0.956123215167793	0.84064424406419	1.01034205758078	1.06096814722706	0.711929046150658	0.952456420226789	0.77998338659701	1.2077213850366
2410131K14Rik	na	2.20622227828257	2.19424824375699	2.58343912873577	1.91340685652518	2.52385313734752	2.19957780079907	2.7075637232387	2.71794001930311
2610008E11Rik	na	2.91663246914411	3.27387754607468	3.44943291247809	3.41988775318472	3.32108029779548	3.1849279240625	3.26266478218578	2.95197278055829
2610019E17Rik	na	4.59779072835871	4.69542821607238	4.95311749292699	4.5530636297593	4.67571769930829	4.58844182473447	4.42193155499337	4.5772402197323
2700046G09Rik	na	1.71042934153644	1.93400803624195	1.94238893002442	1.86281610911128	1.51930428602403	1.81222846035031	1.66048431558594	1.92455076734083
2700062C07Rik	na	2.94611419348553	3.25275970103992	3.83035446915704	3.49645539110004	3.43361201102724	3.10201544932408	2.733106796078	3.30495873763407
2810008D09Rik	na	4.41401582298173	4.94124274444413	5.21664005830186	4.83721949367226	4.82373061394223	4.76332523087574	4.60667384533462	4.73013814170331
2810021J22Rik	na	2.08338942101032	2.21671101202586	2.62618972162471	2.33325906590118	2.15963533040591	2.32491960712048	2.05562910150557	2.06230736999957
2810410L24Rik	na	2.3262211288954	2.39298946216858	2.985567113887	2.88247244762126	2.57042998699771	2.33699775349237	2.40792019608008	2.27328400492802
2900008C10Rik	na	0.87994350755534	0.799598826123372	1.34251060122602	0.829408154119997	0.914251027971946	0.825551197764113	0.578142739976554	0.672820934223707
2900026A02Rik	na	2.62711304533558	2.73266023845583	3.08849147794362	3.22937756854064	3.00535970054822	3.16747515161425	2.45046888023855	2.72715251801379
2900052L18Rik	na	4.21181278049906	4.42754333512331	5.15483875685009	4.64924804197452	4.2003630910858	4.19592821864597	4.7045470067143	4.31269585173696
2900089D17Rik	na	4.20586478457	3.81897371729297	4.61311325646888	4.32100495911397	3.76659611323807	3.94475241359419	3.96850689117487	3.56529407244149
3010003L21Rik	na	3.29796375719847	3.07467902920946	4.0216590841174	3.51299011065949	3.03408487586976	3.15003953729488	2.78241412691724	2.93907877068273
3110045C21Rik	na	0.418940413605132	0.244598002011497	0.481612264028532	0.595578022015257	0.479529085823469	0.228361928010716	0.180007282088188	0.242353338899762
4833417C18Rik	na	0.601579194805569	0.502463522878237	0.659153145207412	0.626621926887438	0.595441293867917	0.573203437122274	0.466209590539418	0.419457889163325
4833439L19Rik	na	4.71882229001498	5.4457800071709	5.45591460518677	5.418083799544	5.23373063544594	5.39118753211192	5.2625456758368	5.40300213372031
4930523C07Rik	na	5.24517965864182	5.10989101302332	5.53440184374509	5.40428046085347	5.38243321840917	5.4375703659963	5.02283746198604	5.68764527773425
4930556M19Rik	na	5.59129125457903	5.72632768604074	6.08387602273282	6.80909939172352	6.10432911563695	6.32620829655452	6.10524595355793	5.79290574715602
4930562F07Rik	na	0.60678096766872	0.44214562183075	0.666857123431688	0.634302420936927	0.54055821242909	0.460724713736556	0.463277991642867	0.656963126647221
4931440P22Rik	na	1.58002126450525	1.4648875342991	1.82083507230741	1.94560847518914	1.64498014630587	1.6552288852941	1.44855112893996	1.59893119208594
4933434E20Rik	na	4.04716136569958	5.04489581298079	4.56248638392646	5.00858674203313	4.98757488792492	4.63316814343752	4.78595960203714	4.70270139063447
4933439C10Rik	na	2.870168381025	3.10297951226426	3.41507056341898	3.3389833172144	3.09276746123003	3.30077029679492	3.12197783911183	3.09067769942416
