"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021700","developmental maturation","36/1342","413/25730",0.0871670702179177,1.6712434550723,3.22588281846304,0.00189700017188131,0.0221600426061434,0.0170030267317747,"Ago2/Anks1/Ap1g1/Atp6v0a1/Atp6v0d1/Atp6v1g1/Atp6v1g3/B4galt5/Cacna1a/Cdc25b/Cebpa/Clcn3/Clstn1/Dld/Fzd5/Hdac6/Lrrk2/Lsm14b/Nr4a2/Ntn4/Pmp22/Prkaca/Rac3/Rock1/Scarf1/Sema4d/Slc24a4/Slc26a6/Snapin/Snx19/Spg21/Tfcp2l1/Vegfa/Vps35/Ythdf2/Ywhaz",36
"GO:0051336","regulation of hydrolase activity","14/1342","111/25730",0.126126126126126,2.41820061492193,3.51251097685743,0.00190763252636361,0.0222367313894027,0.0170618687410145,"Arhgap44/Bcar3/Chp1/Dennd1b/Lrch1/Pycard/Ralbp1/Ralgapa2/Rapgef3/Rgp1/Rhog/Rrp1b/Tank/Tbc1d15",14
"GO:0009615","response to virus","38/1342","443/25730",0.0857787810383747,1.6446259583587,3.21041086960491,0.00191910236985846,0.0223228354383323,0.0171279349247166,"Akap1/Arf1/Armc5/Atg7/Bax/Bcl2l1/Bst2/Ddx60/Fadd/Gpr108/Gpr146/Hmga2/Hyal3/Ifngr1/Irf7/Isg20/Nmb/Npc2/Nt5c3/Otud4/Polr3g/Ppm1b/Pycard/Riok3/Rnf7/Rrp1b/Rsad2/Smpd1/Stmn1/Tlr3/Tmem120a/Trim11/Trim25/Trim65/Trim8/Ube2f/Unc13d/Vamp8",38
"GO:0048638","regulation of developmental growth","35/1342","399/25730",0.087719298245614,1.68183125473893,3.21985862726929,0.00195807709431842,0.0227278290332035,0.0174386796756262,"Akap1/Akt1/Atg7/Atxn2/Cited2/Clasp2/Dnm2/Dyrk1a/Eif4g2/Ep300/Fdps/Fgfr2/Fn1/Fosl2/Gdi1/Hdac6/Hmga2/Hsf1/Ifrd1/Kcnk2/Lgmn/Lpar3/Mapk1/Mbd5/Pdzd11/Pim1/Plaa/Sav1/Sema4d/Stat3/Tcf7l2/Tgfbr2/Tgfbr3/Ulk1/Vegfa",35
"GO:0009791","post-embryonic development","16/1342","136/25730",0.117647058823529,2.25563250635575,3.44399521972778,0.00196751800625723,0.0227408476537173,0.0174486686434518,"Acvr2b/Ago2/Atg7/Atn1/Bax/Eva1a/Fgfr2/Fzd5/Grcc10/Itpr1/Mapk8ip3/Nr4a2/Plagl2/Sod2/Tcf7l2/Vegfa",16
"GO:0030316","osteoclast differentiation","16/1342","136/25730",0.117647058823529,2.25563250635575,3.44399521972778,0.00196751800625723,0.0227408476537173,0.0174486686434518,"Cd81/Cebpb/Csf1r/Esrra/Fbxw7/Fos/Fosl2/Glo1/Gpr137/Nfatc1/Ninj1/Notch2/Ostm1/Pias3/Rassf2/Tcta",16
"GO:0051258","protein polymerization","28/1342","298/25730",0.0939597315436242,1.80147831044519,3.26444433015189,0.00199271073619015,0.0229834379636108,0.0176348040944209,"Arpc4/Baiap2/Capn1/Ccdc57/Cdc42ep1/Chmp2a/Clasp2/Cyfip2/Daam2/Dctn1/Dnm2/Dyrk1a/Git1/Gpx4/Icam1/Kank1/Mlst8/Nckap1/Pycard/Rasa1/Rictor/Sgk1/Snca/Stmn1/Tmod1/Tmod3/Ttc17/Tubgcp3",28
"GO:0045766","positive regulation of angiogenesis","20/1342","188/25730",0.106382978723404,2.03966769191743,3.35618305907406,0.00201009534424863,0.02304896110745,0.0176850788969584,"Ago2/Aqp1/Clic3/Emp2/Erap1/Hmga2/Hmgb1/Jup/Mtdh/Ninj1/Pak4/Pxn/Rapgef3/Smoc2/Stat3/Tgfbr2/Thbs1/Tlr3/Vegfa/Vegfb",20
"GO:0002761","regulation of myeloid leukocyte differentiation","17/1342","149/25730",0.114093959731544,2.18750937696916,3.41013083127229,0.00201888422984095,0.02304896110745,0.0176850788969584,"Cebpb/Csf1r/Esrra/Fadd/Fbxw7/Fos/Gpr137/Hsf1/Il34/Jun/Ninj1/Notch2/Pias3/Prdm16/Rassf2/Tcta/Zfp36l1",17
"GO:0006687","glycosphingolipid metabolic process","9/1342","55/25730",0.163636363636364,3.13737975884027,3.72226620328705,0.00201947180729258,0.02304896110745,0.0176850788969584,"B4galt4/B4galt5/Bax/Crem/Fut4/Gal3st1/St3gal1/Tm9sf2/Ugcg",9
