"gene","cluster"
"2410004B18Rik",7
"2410004I01Rik",2
"2410004N09Rik",11
"2410004P03Rik",10
"2410006H16Rik",6
"2410015M20Rik",2
"2410016O06Rik",4
"2410017I17Rik",10
"2410018L13Rik",14
"2410018M08Rik",10
"2410057H14Rik",14
"2410066E13Rik",6
"2410076I21Rik",2
"2410080I02Rik",14
"2410089E03Rik",5
"2410127L17Rik",8
"2410131K14Rik",9
"2410133F24Rik",2
"2500002B13Rik",12
"2500004C02Rik",14
"2510002D24Rik",5
"2510003E04Rik",13
"2510009E07Rik",8
"2510016G02Rik",12
"2510039O18Rik",13
"2510046G10Rik",7
"2510049J12Rik",10
"2600006K01Rik",12
"2610001J05Rik",10
"2610002J02Rik",4
"2610002M06Rik",11
"2610008E11Rik",6
"2610015P09Rik",15
"2610017I09Rik",10
"2610018G03Rik",7
"2610019E17Rik",6
"2610020C07Rik",7
"2610020H08Rik",11
"2610021A01Rik",7
"2610027K06Rik",10
"2610028H24Rik",8
"2610034B18Rik",5
"2610035D17Rik",2
"2610037D02Rik",4
"2610044O15Rik8",8
"2610203C20Rik",3
"2610203C22Rik",1
"2610204G07Rik",3
"2610204G22Rik",4
"2610206C17Rik",14
"2610301B20Rik",11
"2610305D13Rik",12
"2610307P16Rik",2
"2610318N02Rik",2
"2610507B11Rik",13
"2610507I01Rik",4
"2610524H06Rik",2
"2610528A11Rik",10
"2610528J11Rik",2
"2700012I20Rik",13
"2700016F22Rik",13
"2700029M09Rik",13
"2700033N17Rik",8
"2700038G22Rik",12
"2700046A07Rik",2
"2700046G09Rik",6
"2700049A03Rik",4
"2700050L05Rik",4
"2700060E02Rik",3
"2700062C07Rik",6
"2700073G19Rik",4
"2700081L22Rik",10
"2700081O15Rik",4
"2700086A05Rik",1
"2700089E24Rik",15
"2700094K13Rik",10
"2700097O09Rik",7
"2810001G20Rik",13
"2810002D19Rik",7
"2810004N23Rik",13
"2810006K23Rik",5
"2810008D09Rik",6
"2810021J22Rik",6
"2810025M15Rik",2
"2810029C07Rik",1
"2810032G03Rik",14
"2810055G20Rik",8
"2810403A07Rik",5
"2810403D21Rik",14
"2810408A11Rik",7
"2810408I11Rik",1
"2810408M09Rik",11
"2810410L24Rik",6
"2810417H13Rik",1
"2810425M01Rik",2
"2810428I15Rik",4
"2810429I04Rik",10
"2810430I11Rik",10
"2810433D01Rik",3
"2810442I21Rik",2
"2810442N19Rik",10
"2810455O05Rik",10
"2810468N07Rik",10
"2810474O19Rik",15
"2900002K06Rik",14
"2900005J15Rik",14
"2900008C10Rik",6
"2900026A02Rik",6
"2900052L18Rik",6
"2900053O20Rik",3
"2900056M20Rik",11
"2900076A07Rik",4
"2900089D17Rik",6
"3010001F23Rik",10
"3010003L21Rik",6
"3010026O09Rik",1
"3110001I22Rik",14
"3110002H16Rik",12
"3110007F17Rik",12
"3110009E18Rik",11
"3110021A11Rik",7
"3110021N24Rik",8
"3110040N11Rik",11
"3110043O21Rik",15
"3110045C21Rik",6
"3110052M02Rik",3
"3110056K07Rik",10
"3110057O12Rik",7
"3110062M04Rik",2
"3110070M22Rik",14
"3110082I17Rik",10
"3110083C13Rik",14
"3222401L13Rik",2
"3300002A11Rik",1
"3300002I08Rik",7
"3300005D01Rik",14
"3632451O06Rik",10
"3830403N18Rik",3
"3830406C13Rik",7
"3830408C21Rik",2
"3930402G23Rik",8
"4430402I18Rik",14
"4631405J19Rik",14
"4631405K08Rik",10
"4632404H12Rik",2
"4632411P08Rik",2
"4632415L05Rik",14
"4632419I22Rik",11
"4632427E13Rik",11
"4632428C04Rik",14
"4632428N05Rik",8
"4632434I11Rik",1
"4731419I09Rik",3
"4732414G09Rik",14
"4732440D04Rik",8
"4732487G21Rik",10
"4732491K20Rik",2
"4831440E17Rik",12
"4833412C05Rik",10
"4833417C18Rik",6
"4833418N02Rik",11
"4833420G17Rik",12
"4833422C13Rik",5
"4833423E24Rik",10
"4833424O15Rik",10
"4833427G06Rik",8
"4833439L19Rik",6
"4921507P07Rik",12
"4921514A10Rik",1
"4921524J17Rik",3
"4921530L18Rik",14
"4921531C22Rik",13
"4922501C03Rik",4
"4922501L14Rik",2
"4930402H24Rik",8
"4930403O15Rik",8
"4930404I05Rik",12
"4930404N11Rik",5
"4930405A21Rik",13
"4930412C18Rik",13
"4930417H01Rik",10
"4930422G04Rik",12
"4930426I24Rik",14
"4930427A07Rik",1
"4930429B21Rik",14
"4930429F24Rik",14
"4930430E12Rik",10
"4930430F08Rik",4
"4930432K21Rik",10
"4930441O14Rik",5
"4930444P10Rik",5
"4930451C15Rik",2
"4930451G09Rik",10
"4930452B06Rik",3
"4930453N24Rik",2
"4930455G09Rik",5
"4930455H04Rik",12
"4930470G03Rik",1
"4930480K23Rik",2
"4930481A15Rik",8
"4930481B07Rik",14
"4930486L24Rik",10
"4930500J02Rik",10
"4930503L19Rik",12
"4930506C21Rik",3
"4930506M07Rik",11
"4930507D05Rik",2
"4930509G22Rik",10
"4930513N10Rik",12
"4930515G01Rik",12
"4930518I15Rik",2
"4930520O04Rik",5
"4930522L14Rik",5
"4930523C07Rik",6
"4930524J08Rik",7
"4930524L23Rik",10
"4930524O07Rik",12
"4930525G20Rik",14
"4930529M08Rik",14
"4930532G15Rik",14
"4930533K18Rik",10
"4930538E20Rik",14
"4930539J05Rik",5
"4930540M05Rik",10
"4930546H06Rik",13
"4930547M16Rik",10
"4930550C14Rik",4
"4930550G17Rik",3
"4930556M19Rik",6
"4930558J18Rik",10
"4930562C15Rik",10
"4930562F07Rik",6
"4930563E22Rik",1
"4930570N19Rik",1
"4930577N17Rik",3
"4930578C19Rik",2
"4930578M01Rik",1
"4930579G18Rik",12
"4930579G24Rik",1
"4930579K19Rik",2
"4930580A09Rik",14
"4930581F22Rik",4
"4930594M22Rik",14
"4930597O21Rik",2
"4930599N23Rik",11
"4931406C07Rik",2
"4931406P16Rik",12
"4931414P19Rik",4
"4931422A03Rik",14
"4931428F04Rik",2
"4931429I11Rik",2
"4931440P22Rik",6
"4932418E24Rik",10
"4932438A13Rik",13
"4932443I19Rik",2
"4932443L11Rik",10
"4933400F03Rik",10
"4933404O12Rik",14
"4933405D12Rik",5
"4933406C10Rik",2
"4933406P04Rik",14
"4933407K13Rik",3
"4933408B17Rik",2
"4933408J17Rik",10
"4933411K20Rik",7
"4933415A04Rik",8
"4933421O10Rik",11
"4933424M12Rik",12
"4933426M11Rik",15
"4933427D14Rik",5
"4933429H19Rik",12
"4933431E20Rik",2
"4933431K23Rik",1
"4933433G15Rik",2
"4933434E20Rik",9
"4933436C20Rik",3
"4933439C10Rik",6
"4933439K11Rik",7
"5031414D18Rik",10
"5031425E22Rik",6
"5031434O11Rik",6
"5031439G07Rik",12
"5033403F01Rik",5
"5033411D12Rik",7
"5033430I15Rik",6
"5330413P13Rik",1
"5330417C22Rik",13
"5330426P16Rik",5
"5330430P22Rik",13
"5330439K02Rik",12
"5430400D12Rik",1
"5430402O13Rik",14
"5430403G16Rik",12
"5430405H02Rik",8
"5430416N02Rik",11
"5430416O09Rik",12
"5430417L22Rik",2
"5430421N21Rik",2
"5430427O19Rik",2
"5430435G22Rik",10
"5530601H04Rik",4
"5730405O15Rik",6
"5730409E04Rik",5
"5730420D15Rik",12
"5730422E09Rik",1
"5730446D14Rik",1
"5730455P16Rik",12
"5730480H06Rik",6
"5730507C01Rik",1
"5730508B09Rik",12
"5730522E02Rik",1
"5730559C18Rik",5
"5730577I03Rik",4
"5730596B20Rik",14
"5830415F09Rik",4
"5830416P10Rik",5
"5830418K08Rik",11
"5830428H23Rik",13
"5830432E09Rik",1
"5830444B04Rik",2
"5830454E08Rik",14
"5930412G12Rik",12
"6030408B16Rik",2
"6030442K20Rik",5
"6030443J06Rik",2
"6030455H03Rik",10
"6030458C11Rik",11
"6230400D17Rik",2
"6330403A02Rik",10
"6330403K07Rik",5
"6330403L08Rik",6
"6330403N20Rik",12
"6330408A02Rik",14
"6330409D20Rik",10
"6330416G13Rik",11
"6330418K02Rik",4
"6330419J24Rik",13
"6330562C20Rik",6
"6430531B16Rik",10
"6430548M08Rik",5
"6430550D23Rik",14
"6430562O15Rik",14
"6430573F11Rik",5
"6430590A07Rik",4
"6430710C18Rik",3
"6530402F18Rik",10
"6530403G13Rik",10
"6720401G13Rik",4
"6720427I07Rik",11
"6720483E21Rik",10
"6720489N17Rik",10
"6820408C15Rik",1
"8030451A03Rik",1
"8030453O22Rik",10
"8030462N17Rik",8
"8430403D17Rik",14
"8430408G22Rik",9
"8430419K02Rik",10
"8430419L09Rik",4
"8430427H17Rik",12
"8430429K09Rik",12
"9030025P20Rik",5
"9030407P20Rik",6
"9030612E09Rik",5
"9030617O03Rik",4
"9030622O22Rik",8
"9030624G23Rik",1
"9030624J02Rik",11
"9130008F23Rik",7
"9130011E15Rik",12
"9130017K11Rik",12
"9130019O22Rik",11
"9130020K20Rik",13
"9130023H24Rik",10
"9130206I24Rik",2
"9130221H12Rik",11
"9130230L23Rik",12
"9130230N09Rik",12
"9130401M01Rik",3
"9230104L09Rik",2
"9230110C19Rik",14
"9230111E07Rik",12
"9230112E08Rik",10
"9230114K14Rik",12
"9230115E21Rik",1
"9230116N13Rik",14
"9230117E06Rik",4
"9330020H09Rik",2
"9330101J02Rik",10
"9330104G04Rik",14
"9330111N05Rik",1
"9330136K24Rik",14
"9330151L19Rik",3
"9330158H04Rik",1
"9330159F19Rik",10
"9330159M07Rik",1
"9330160F10Rik",11
"9330162012Rik",1
"9330175E14Rik",10
"9330182L06Rik",11
"9430008C03Rik",14
"9430015G10Rik",1
"9430016H08Rik",11
"9430020K01Rik",8
"9430023L20Rik",6
"9430037G07Rik",10
"9430038I01Rik",6
"9430065F17Rik",12
"9430091E24Rik",14
"9530003J23Rik",11
"9530026P05Rik",8
"9530027J09Rik",2
"9530034E10Rik",10
"9530036O11Rik",11
"9530046B11Rik",10
"9530048J24Rik",4
"9530051G07Rik",14
"9530052C20Rik",10
"9530068E07Rik",12
"9530077C05Rik",6
"9530082P21Rik",5
"9630013D21Rik",10
"9630033F20Rik",5
"9830107B12Rik",10
"9830147E19Rik",7
"9930012K11Rik",3
"9930013L23Rik",10
"9930014A18Rik",13
"9930021J03Rik",15
"9930104L06Rik",5
"9930111J21Rik1",10
"9930111J21Rik2",8
"A030003K02Rik",12
"A030009H04Rik",13
"A130010J15Rik",11
"A130014A01Rik",4
"A130049A11Rik",6
"A130050O07Rik",13
"A130051J06Rik",14
"A130066N16Rik",10
"A230005M16Rik",12
"A230046K03Rik",6
"A230050P20Rik",4
"A230056P14Rik",4
"A230059L01Rik",10
"A230065H16Rik",1
"A230072C01Rik",2
"A230072E10Rik",8
"A230083N12Rik",5
"A230087F16Rik",5
"A230107N01Rik",14
"A2m",3
"A330008L17Rik",12
"A330009N23Rik",2
"A330017A19Rik",1
"A330021E22Rik",7
"A330023F24Rik",2
"A330032B11Rik",14
"A330033J07Rik",12
"A330035P11Rik",14
"A330040F15Rik",2
"A330041J22Rik",14
"A330048O09Rik",10
"A330050B17Rik",7
"A330069E16Rik",8
"A330076H08Rik",3
"A330102I10Rik",10
"A430005L14Rik",4
"A430018G15Rik",9
"A430033K04Rik",7
"A430035B10Rik",11
"A430046D13Rik",10
"A430078I02Rik",1
"A430093F15Rik",10
"A430104N18Rik",5
"A430105I19Rik",11
"A430105J06Rik",12
"A430106G13Rik",8
"A430108G06Rik",3
"A430110L20Rik",5
"A530013C23Rik",14
"A530017D24Rik",10
"A530020G20Rik",11
"A530054K11Rik",13
"A530072M11Rik",14
"A530083I20Rik",5
"A530084C06Rik",2
"A630001G21Rik",8
"A630007B06Rik",4
"A630014C17Rik",12
"A630033H20Rik",5
"A630052C17Rik",8
"A730011C13Rik",6
"A730015C16Rik",14
"A730017C20Rik",10
"A730017L22Rik",12
"A730020E08Rik",2
"A730046J19Rik",10
"A730049H05Rik",4
"A730071L15Rik",13
"A730081D07Rik",10
"A730085K08Rik",13
"A830009L08Rik",1
"A830010M20Rik",6
"A830018L16Rik",10
"A830035O19Rik",1
"A830052D11Rik",14
"A830073O21Rik",3
"A830080D01Rik",15
"A830082K12Rik",10
"A930001A20Rik",14
"A930001C03Rik",14
"A930003A15Rik",10
"A930004D18Rik",7
"A930005H10Rik",2
"A930006K02Rik",6
"A930007I19Rik",12
"A930011G23Rik",10
"A930012O16Rik",5
"A930013B10Rik",10
"A930015D03Rik",2
"A930024E05Rik",8
"A930024N18Rik",14
"A930028C08Rik",5
"A930029G22Rik",1
"A930033H14Rik",3
"AA386476",5
"AA415398",11
"AA465934",12
"AA467197",8
"AA474331",6
"AA474408",6
"AA543186",14
"AA986860",6
"AA987161",2
"Aaas",7
"Aacs",4
"Aadac",8
"Aaed1",13
"Aagab",11
"Aak1",12
"Aamdc",5
"Aamp",6
"Aar2",8
"Aard",5
"Aars",15
"Aars2",3
"Aarsd1",5
"Aasdh",4
"Aasdhppt",8
"Aass",15
"Aatf",12
"Aatk",2
"AB041803",4
"AB124611",8
"Abat",1
"Abca1",5
"Abca13",5
"Abca14",10
"Abca17",4
"Abca2",12
"Abca3",15
"Abca4",11
"Abca5",3
"Abca6",10
"Abca7",6
"Abca8a",10
"Abca8b",10
"Abca9",14
"Abcb10",2
"Abcb1a",1
"Abcb1b",2
"Abcb4",10
"Abcb6",13
"Abcb7",13
"Abcb8",3
"Abcb9",12
"Abcc1",12
"Abcc10",4
"Abcc12",10
"Abcc3",8
"Abcc4",11
"Abcc5",9
"Abcc6",2
"Abcc8",12
"Abcc9",12
"Abcd1",2
"Abcd2",2
"Abcd3",15
"Abcd4",13
"Abce1",15
"Abcf1",6
"Abcf2",11
"Abcf3",4
"Abcg1",8
"Abcg2",1
"Abcg3",1
"Abhd1",5
"Abhd10",2
"Abhd11",3
"Abhd12",11
"Abhd13",7
"Abhd14a",2
"Abhd14b",6
"Abhd15",10
"Abhd16a",3
"Abhd17a",6
"Abhd17b",12
"Abhd17c",13
"Abhd2",13
"Abhd3",12
"Abhd4",7
"Abhd5",9
"Abhd6",13
"Abhd8",4
"Abi1",2
"Abi2",13
"Abi3",12
"Abi3bp",12
"Abl1",8
"Abl2",14
"Ablim1",13
"Ablim2",12
"Ablim3",8
"Abr",13
"Abra",1
"Abracl",2
"Abt1",12
"Abtb1",11
"Abtb2",2
"AC122290.1",10
"AC158802.1",14
"Acaa1a",4
"Acaa1b",12
"Acaa2",6
"Acaca",8
"Acacb",12
"Acad10",5
"Acad11",14
"Acad12",4
"Acad8",12
"Acad9",4
"Acadl",12
"Acadm",15
"Acads",9
"Acadsb",15
"Acadvl",11
"Acan",10
"Acap1",14
"Acap2",13
"Acap3",12
"Acat1",7
"Acat2",8
"Acat3",2
"Acbd3",13
"Acbd4",13
"Acbd5",5
